Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2340000,0.027619295,None,0.10845194,None,None,None,6.2114916e-05,0.07055755,0.0002859934,1.0
2350000,0.026372911,10384.5,0.11182406,11.40000019595027,11.40000019595027,None,0.001843242,0.07390661,0.00028593006,1.0
2360000,0.02678281,None,0.110612184,None,None,None,5.2008672e-05,0.071423545,0.0002858665,1.0
2370000,0.028679293,None,0.11518076,None,None,None,6.3170526e-05,0.07146101,0.00028580904,1.0
2380000,0.025768545,5125.0,0.117603205,5.300000116229057,5.300000116229057,None,0.0005605228,0.066946074,0.0002857523,1.0
2390000,0.024833484,None,0.11879855,None,None,None,6.126654e-05,0.072180554,0.000285689,1.0
2400000,0.02599741,None,0.11862923,None,None,None,6.46101e-05,0.07112654,0.00028562563,1.0
2410000,0.028011601,5143.0,0.122617126,5.300000116229057,5.300000116229057,None,0.0011514076,0.07235383,0.0002855688,1.0
2420000,0.028384,None,0.11991365,None,None,None,5.8646878e-05,0.06637869,0.00028551184,1.0
2430000,0.025894351,15603.0,0.11167565,17.800000302493572,17.800000302493572,None,0.0009519784,0.07060762,0.0002854483,1.0
2440000,0.026820175,None,0.114461385,None,None,None,6.946993e-05,0.072609186,0.00028539085,1.0
2450000,0.024294877,15912.666666666666,0.1080938,18.13333363334338,18.13333363334338,None,0.002865842,0.0655986,0.00028533407,1.0
2460000,0.027938439,None,0.104946814,None,None,None,5.4808137e-05,0.06943777,0.00028527068,1.0
2470000,0.029101118,18919.0,0.106250934,22.800000376999378,22.800000376999378,None,0.00096353627,0.06871154,0.00028520715,1.0
2480000,0.026822885,None,0.10696202,None,None,None,6.080186e-05,0.06073791,0.00028515016,1.0
2490000,0.026138829,12415.0,0.1070958,14.00000024586916,14.00000024586916,None,0.0009439007,0.07101841,0.00028509312,1.0
2500000,0.024871679,None,0.111915454,None,None,None,5.3967175e-05,0.06578517,0.0002850298,1.0
2510000,0.023741866,10081.25,0.09960205,10.975000195205212,10.975000195205212,None,0.0034871448,0.07207198,0.00028496663,1.0
2520000,0.025762912,697.0,0.09878187,-0.19999996572732925,-0.19999996572732925,None,0.0011718082,0.06808425,0.00028490974,1.0
2530000,0.026278425,None,0.1099043,None,None,None,5.1621602e-05,0.06811779,0.00028485234,1.0
2540000,0.0278957,None,0.11500336,None,None,None,6.09132e-05,0.065926395,0.0002847886,1.0
2550000,0.029654989,None,0.120039865,None,None,None,5.158861e-05,0.0708616,0.00028473156,1.0
2560000,0.025570143,11367.0,0.11447724,12.200000196695328,12.200000196695328,None,0.0011420944,0.066073395,0.0002846745,1.0
2570000,0.028695479,811.0,0.113694,-0.19999998807907104,-0.19999998807907104,None,0.001134503,0.06899486,0.00028461101,1.0
2580000,0.02500474,None,0.11172225,None,None,None,5.438098e-05,0.062080722,0.0002845477,1.0
2590000,0.029065289,None,0.11786234,None,None,None,6.195041e-05,0.071173385,0.0002844903,1.0
2600000,0.025173573,15558.0,0.1230063,17.500000298023224,17.500000298023224,None,0.00061556493,0.066710696,0.0002844334,1.0
2610000,0.027666641,18606.5,0.11860843,21.7000003606081,21.7000003606081,None,0.0010643337,0.06561154,0.00028437033,1.0
2620000,0.025476018,7224.0,0.11466097,7.500000149011612,7.500000149011612,None,0.0011008682,0.069887035,0.0002843071,1.0
2630000,0.025248753,None,0.113387525,None,None,None,4.5308294e-05,0.072705455,0.0002842501,1.0
2640000,0.026671639,1082.0,0.11793362,0.20000004023313522,0.20000004023313522,None,0.0011465081,0.06870964,0.00028419314,1.0
